"year_pub","journal_id","volume","issue","first_author","table_no","table_loc","coefficient","std_error","error_type","sample_size","study_type","mult_hyp..Y...1..N...0.","mult_hyp_corr.Y..1..N...0.","main_results..Y.1..N.0.","data_available","code_available","Bayesian..Y.1..N..0."
2019,"EL",22,12,"Bloom","1","main",-0.031,0.0255102040816327,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","1","main",0.057,0.0168367346938776,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","1","main",-0.014,0.0198979591836735,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","1","main",-0.11,0.0357142857142857,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","1","main",-0.024,0.0239795918367347,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","1","main",-0.0012,0.0243877551020408,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","1","main",0.049,0.0464285714285714,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","1","main",0.0096,0.0190816326530612,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","1","main",-0.043,0.0377551020408163,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","S4","supplement",0.0025,0.014030612244898,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","S4","supplement",0.021,0.0168367346938776,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","S4","supplement",0.014,0.011734693877551,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","S4","supplement",0.0052,0.0271428571428571,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","S4","supplement",0.0011,0.0137244897959184,"CI",128,"observational",1,0,1,1,0,0
2019,"EL",22,12,"Bloom","S4","supplement",-0.0028,0.0141836734693878,"CI",128,"observational",1,0,1,1,0,0
